Film,Year released,Year watched,Category,Location of screening
The Blind Side,2009,2015,,Year 7 English
The Mummy,1999,2015,,Year 7 English
Jurassic World,2015,2015,,In cinemas
Mockingjay Part 2,2015,2015,HG,In cinemas
Frozen,2014,2015,Family,Friend's house
Mockingjay Part 1,2014,2015,HG,
Iron Man 3,2013,2015,Superhero,TV film
Monsters University,2013,2015,,TV film
Catching Fire,2013,2015,HG,
The Hunger Games,2012,2015,HG,
Prince Caspian,2008,2015,Narnia,
Supervolcano,2005,2015,,Year 7 English
"The Lion, The Witch and the Wardrobe",2005,2015,Narnia,Year 7 English
Shrek 2,2004,2015,Family,
Monsters Inc.,2001,2015,,TV film
Back to the Future III,1990,2015,BTTF,TV film
Back to the Future II,1989,2015,BTTF,TV film
Back to the Future,1985,2015,BTTF,TV film
Raiders of the Lost Ark,1981,2015,Indiana Jones,Year 7 English
The Empire Strikes Back,1980,2015,Star Wars,Year 7 English
Star Wars (A New Hope),1977,2015,Star Wars,Year 7 English
The Lego Movie,2014,2014,Family,"In cinemas, also at Year 6 camp"
Mr Peabody and Sherman,2014,2014,,"At primary school, Year 6"
Night at the Museum II,2014,2014,,In cinemas
Big Hero 6,2014,2014,Family,"In cinemas, at Year 6 Graduation"
The Lorax,2012,2014,Family,"At primary school, Year 6, rewatched many times on TV"
Bridge to Terabithia,2007,2014,,Also in Year 9 CE
Meet the Robinsons,2007,2014,,"At primary school, Year 6"
Charlotte's Web,2006,2014,,"Around Year 6 on DVD, rewatched once on TV"
National Treasure,2004,2014,,"At primary school, Year 6"
Charlie and the Chocolate Factory,2005,2013,Family,
Despicable Me 2,2013,2013,Family,In cinemas
Harry Potter and the Deathly Hallows Part 2,2011,2013,Harry Potter,Friend's house
The Voyage of the Dawn Treader,2010,2013,Narnia,
High School Musical,2006,2013,,"At primary school, Year 5"
Matilda,1996,2012,Family,
Diary of a Wimpy Kid: Rodrick Rules,2012,2012,Family,In cinemas
Toy Story 3,2010,2012,Family,TV film
Harry Potter and the Goblet of Fire,2005,2012,Harry Potter,Friend's house
Harry Potter and the Philosopher's Stone,2004,2012,Harry Potter,Friend's house
The Polar Express,2004,2012,Christmas,"At primary school, early years"
Harry Potter and the Chamber of Secrets,2002,2012,Harry Potter,
Rabbit Proof Fence,2002,2012,,"At primary school, Year 4"
Harry Potter and the Prisoner of Azkaban,2001,2012,Harry Potter,Friend's house
A Bug's Life (3D),1998,2012,Family,Year 4 school excursion to IMAX
The Lion King,1994,2012,Family,"At primary school, Year 4"
Aladdin,1992,2012,Family,"At primary school, early years"
E.T.,1982,2012,,Rewatched many times
The Sound of Music,1965,2012,Family,Rewatched many times
Willy Wonka and the Chocolate Factory,1971,2011,Family,
Johnny English Reborn,2011,2011,,In cinemas
Transformers: Dark of the Moon,2011,2011,,In cinemas
Gnomeo and Juliet,2011,2011,Family,"At primary school, Year 3"
Shrek,2001,2011,,"At primary school, middle years"
Despicable Me,2010,2010,Family,"In cinemas, primary school birthday party"
Alvin and the Chipmunks,2007,2010,Christmas,"At primary school, early years"
Finding Nemo,2003,2010,Family,"At primary school, early years"
How the Grinch stole Christmas,2000,2010,Christmas,"At primary school, early years"
Toy Story 2,1999,2010,Family,"At primary school, early years"
Beauty and the Beast,1991,2010,Family,"At primary school, early years"
Up,2009,2009,Family,In cinemas
Cloudy with a Chance of Meatballs (3D),2009,2009,Family,"In cinemas, Year 1 primary school excursion"
Happy Feet,2006,2009,Family,"At primary school, early years"
Toy Story,1995,2009,Family,"At primary school, Year 1 Concert break"
Horton Hears a Who!,2008,2008,Family,In cinemas
WALL-E,2008,2008,Family,In cinemas
Laputa: Castle in the Sky,1986,2008,Anime,Friend's house
